,Driver,Name,URL,Year,Race_Result,DNG_Reason
0,Sébastien Loeb,EKO Acropolis Rally Greece,/entryinfo/73366-eko-acropolis-rally-greece-2022/3424301/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Alternator belt                            </div>"
8,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null
27,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344640/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>"
38,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null
55,Sébastien Loeb,Rally Turkey Marmaris,/entryinfo/60436-rally-turkey-marmaris-2020/2777494/,2020,3,Null
67,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/59972-rallye-automobile-monte-carlo-2020/2465689/,2020,6,Null
83,Sébastien Loeb,RallyRACC Catalunya - Costa Daurada,/entryinfo/54472-rallyracc-catalunya-costa-daurada-2019/2386041/,2019,4,Null
100,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280559/,2019,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Rear suspension                            </div>"
117,Sébastien Loeb,Copec Rally Chile,/entryinfo/54463-copec-rally-chile-2019/2207914/,2019,3,Null
133,Sébastien Loeb,CORSICA Linea Tour de Corse,/entryinfo/54464-corsica-linea-tour-de-corse-2019/2121690/,2019,8,Null
147,Sébastien Loeb,Rally Sweden,/entryinfo/53052-rally-sweden-2019/2084224/,2019,7,Null
166,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/52398-rallye-automobile-monte-carlo-2019/2019875/,2019,4,Null
181,Sébastien Loeb,RallyRACC Catalunya - Costa Daurada,/entryinfo/44265-rallyracc-catalunya-costa-daurada-2018/1975192/,2018,1,Null
198,Sébastien Loeb,CORSICA Linea Tour de Corse,/entryinfo/44258-corsica-linea-tour-de-corse-2018/1736149/,2018,1,Null
210,Sébastien Loeb,Rally Guanajuato Mexico,/entryinfo/44257-rally-guanajuato-mexico-2018/1712039/,2018,5,Null
