,Driver,Name_x,URL_x,Year_x,Race_Result,DNG_Reason,Match,Unnamed: 0,Serial,URL_y,Name_y,Year_y
1050,Tommi Mäkinen,Rallye Automobile Monte-Carlo,/entryinfo/108-rallye-automobile-monte-carlo-2000/6971/,2000,1,Null,108-rallye-automobile-monte-carlo-2000,0.0,1.0,/final/108-rallye-automobile-monte-carlo-2000/,108-rallye-automobile-monte-carlo-2000,2000.0
415,Carlos Sainz,Rallye Automobile Monte-Carlo,/entryinfo/108-rallye-automobile-monte-carlo-2000/6976/,2000,2,Null,108-rallye-automobile-monte-carlo-2000,0.0,1.0,/final/108-rallye-automobile-monte-carlo-2000/,108-rallye-automobile-monte-carlo-2000,2000.0
474,Colin McRae,Rallye Automobile Monte-Carlo,/entryinfo/108-rallye-automobile-monte-carlo-2000/6975/,2000,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Engine                            </div>",108-rallye-automobile-monte-carlo-2000,0.0,1.0,/final/108-rallye-automobile-monte-carlo-2000/,108-rallye-automobile-monte-carlo-2000,2000.0
414,Carlos Sainz,International Swedish Rally,/entryinfo/109-international-swedish-rally-2000/7034/,2000,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Fuel pump                            </div>",109-international-swedish-rally-2000,1.0,2.0,/final/109-international-swedish-rally-2000/,109-international-swedish-rally-2000,2000.0
473,Colin McRae,International Swedish Rally,/entryinfo/109-international-swedish-rally-2000/7033/,2000,3,Null,109-international-swedish-rally-2000,1.0,2.0,/final/109-international-swedish-rally-2000/,109-international-swedish-rally-2000,2000.0
1049,Tommi Mäkinen,International Swedish Rally,/entryinfo/109-international-swedish-rally-2000/7029/,2000,2,Null,109-international-swedish-rally-2000,1.0,2.0,/final/109-international-swedish-rally-2000/,109-international-swedish-rally-2000,2000.0
1048,Tommi Mäkinen,Sameer Safari Rally Kenya,/entryinfo/110-sameer-safari-rally-kenya-2000/7147/,2000,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Suspension                            </div>",110-sameer-safari-rally-kenya-2000,2.0,3.0,/final/110-sameer-safari-rally-kenya-2000/,110-sameer-safari-rally-kenya-2000,2000.0
413,Carlos Sainz,Sameer Safari Rally Kenya,/entryinfo/110-sameer-safari-rally-kenya-2000/7152/,2000,4,Null,110-sameer-safari-rally-kenya-2000,2.0,3.0,/final/110-sameer-safari-rally-kenya-2000/,110-sameer-safari-rally-kenya-2000,2000.0
472,Colin McRae,Sameer Safari Rally Kenya,/entryinfo/110-sameer-safari-rally-kenya-2000/7151/,2000,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Engine                            </div>",110-sameer-safari-rally-kenya-2000,2.0,3.0,/final/110-sameer-safari-rally-kenya-2000/,110-sameer-safari-rally-kenya-2000,2000.0
471,Colin McRae,TAP Rallye de Portugal,/entryinfo/111-tap-rallye-de-portugal-2000/7206/,2000,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Engine                            </div>",111-tap-rallye-de-portugal-2000,3.0,4.0,/final/111-tap-rallye-de-portugal-2000/,111-tap-rallye-de-portugal-2000,2000.0
