,Driver,Name,URL,Year,Race_Result,DNG_Reason,Php_url,p_overall,stage,ssname
0,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,7,7,SS1
1,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,4,4,SS2
2,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,4,7,SS3
3,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,3,2,SS4
4,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,4,6,SS5
5,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,3,1,SS6
6,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,3,2,SS7
7,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,3,7,SS8
8,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,3,3,SS9
9,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,3,4,SS10
10,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,3,4,SS11
11,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,3,9,SS12
12,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,3,3,SS13
13,Carlos Sainz,Acropolis Rally of Greece,/entryinfo/40-acropolis-rally-of-greece-2005/2010/,2005,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=40&entry=2010&sct=&cat=&lg=en,3,3,SS14
