,Driver,Name,URL,Year,Race_Result,DNG_Reason,Php_url,p_overall,stage,ssname
0,Colin McRae,Rally of Turkey,/entryinfo/13-rally-of-turkey-2006/811/,2006,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=13&entry=811&sct=&cat=&lg=en,5,5,SS3
1,Colin McRae,Rally of Turkey,/entryinfo/13-rally-of-turkey-2006/811/,2006,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=13&entry=811&sct=&cat=&lg=en,4,4,SS5
2,Colin McRae,Rally of Turkey,/entryinfo/13-rally-of-turkey-2006/811/,2006,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=13&entry=811&sct=&cat=&lg=en,4,3,SS6
3,Colin McRae,Rally of Turkey,/entryinfo/13-rally-of-turkey-2006/811/,2006,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=13&entry=811&sct=&cat=&lg=en,5,9,SS7
4,Colin McRae,Rally of Turkey,/entryinfo/13-rally-of-turkey-2006/811/,2006,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=13&entry=811&sct=&cat=&lg=en,7,9,SS8
5,Colin McRae,Rally of Turkey,/entryinfo/13-rally-of-turkey-2006/811/,2006,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=13&entry=811&sct=&cat=&lg=en,6,2,SS9
6,Colin McRae,Rally of Turkey,/entryinfo/13-rally-of-turkey-2006/811/,2006,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=13&entry=811&sct=&cat=&lg=en,6,7,SS10
7,Colin McRae,Rally of Turkey,/entryinfo/13-rally-of-turkey-2006/811/,2006,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=13&entry=811&sct=&cat=&lg=en,7,13,SS11
8,Colin McRae,Rally of Turkey,/entryinfo/13-rally-of-turkey-2006/811/,2006,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=13&entry=811&sct=&cat=&lg=en,7,8,SS12
9,Colin McRae,Rally of Turkey,/entryinfo/13-rally-of-turkey-2006/811/,2006,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=13&entry=811&sct=&cat=&lg=en,8,11,SS13
10,Colin McRae,Rally of Turkey,/entryinfo/13-rally-of-turkey-2006/811/,2006,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=13&entry=811&sct=&cat=&lg=en,8,5,SS14
