,Driver,Name,URL,Year,Race_Result,DNG_Reason,Php_url,p_overall,stage,ssname
0,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,3,3,SS1
1,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,5,6,SS2
2,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,7,7,SS3
3,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,6,6,SS4
4,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,4,5,SS5
5,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,4,2,SS6
6,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,4,4,SS7
7,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,4,5,SS8
8,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,4,4,SS9
9,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,5,5,SS10
10,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,5,6,SS11
11,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,6,14,SS12
12,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,5,5,SS13
13,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,5,6,SS14
14,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,5,6,SS15
15,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,5,7,SS16
16,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,5,7,SS17
17,Elfyn Evans,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608292/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608292&sct=&cat=&lg=en,5,2,SS18
18,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,2,2,SS1
19,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,2,2,SS2
20,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,2,2,SS3
21,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,2,2,SS4
22,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,5,22,SS5
23,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,5,1,SS6
24,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,5,2,SS7
25,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,5,7,SS8
26,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,5,2,SS9
27,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,4,2,SS10
28,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,4,2,SS11
29,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,4,2,SS12
30,Elfyn Evans,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560668/,2023,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560668&sct=&cat=&lg=en,4,3,SS13
