,Driver,Name,URL,Year,Race_Result,DNG_Reason,Php_url,p_overall,stage,ssname
0,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,5,5,SS1
1,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,4,3,SS2
2,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,4,6,SS3
3,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,4,4,SS4
4,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,4,7,SS5
5,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,3,3,SS6
6,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,3,4,SS7
7,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,3,4,SS8
8,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,8,SS9
9,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,3,SS10
10,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,6,SS11
11,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,8,SS12
12,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,14,SS13
13,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,3,3,SS14
14,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,1,SS15
15,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,2,SS16
16,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,4,SS17
17,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,6,SS18
18,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,5,SS19
19,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,12,SS20
20,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,3,SS21
21,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,6,SS22
22,Mikko Hirvonen,Wales Rally GB,/entryinfo/13903-wales-rally-gb-2014/669840/,2014,2,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13903&entry=669840&sct=&cat=&lg=en,2,7,SS23
23,Mikko Hirvonen,RallyRACC Catalunya - Costa Daurada,/entryinfo/13902-rallyracc-catalunya-costa-daurada-2014/657898/,2014,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13902&entry=657898&sct=&cat=&lg=en,8,8,SS1
24,Mikko Hirvonen,RallyRACC Catalunya - Costa Daurada,/entryinfo/13902-rallyracc-catalunya-costa-daurada-2014/657898/,2014,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13902&entry=657898&sct=&cat=&lg=en,9,9,SS2
25,Mikko Hirvonen,RallyRACC Catalunya - Costa Daurada,/entryinfo/13902-rallyracc-catalunya-costa-daurada-2014/657898/,2014,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13902&entry=657898&sct=&cat=&lg=en,7,5,SS3
26,Mikko Hirvonen,RallyRACC Catalunya - Costa Daurada,/entryinfo/13902-rallyracc-catalunya-costa-daurada-2014/657898/,2014,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13902&entry=657898&sct=&cat=&lg=en,4,4,SS4
27,Mikko Hirvonen,RallyRACC Catalunya - Costa Daurada,/entryinfo/13902-rallyracc-catalunya-costa-daurada-2014/657898/,2014,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13902&entry=657898&sct=&cat=&lg=en,4,8,SS5
28,Mikko Hirvonen,RallyRACC Catalunya - Costa Daurada,/entryinfo/13902-rallyracc-catalunya-costa-daurada-2014/657898/,2014,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13902&entry=657898&sct=&cat=&lg=en,5,8,SS6
29,Mikko Hirvonen,RallyRACC Catalunya - Costa Daurada,/entryinfo/13902-rallyracc-catalunya-costa-daurada-2014/657898/,2014,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=13902&entry=657898&sct=&cat=&lg=en,5,4,SS7
