,Driver,Name,URL,Year,Race_Result,DNG_Reason,Php_url,p_overall,stage,ssname
0,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,2,2,SS1
1,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,1,2,SS2
2,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,1,4,SS3
3,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,1,3,SS4
4,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,2,4,SS5
5,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,2,3,SS6
6,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,2,1,SS7
7,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,2,2,SS8
8,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,2,6,SS9
9,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,2,4,SS10
10,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,2,3,SS11
11,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,2,2,SS12
12,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,2,2,SS13
13,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,1,3,SS14
14,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,1,5,SS15
15,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,1,2,SS16
16,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,1,4,SS17
17,Ott Tänak,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608287/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608287&sct=&cat=&lg=en,1,3,SS18
18,Ott Tänak,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3581371/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3581371&sct=&cat=&lg=en,6,6,SS1
19,Ott Tänak,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3581371/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3581371&sct=&cat=&lg=en,3,3,SS2
20,Ott Tänak,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3581371/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3581371&sct=&cat=&lg=en,5,5,SS3
21,Ott Tänak,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3581371/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3581371&sct=&cat=&lg=en,4,5,SS4
22,Ott Tänak,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3581371/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3581371&sct=&cat=&lg=en,4,7,SS5
23,Ott Tänak,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3581371/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3581371&sct=&cat=&lg=en,4,6,SS6
24,Ott Tänak,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3581371/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3581371&sct=&cat=&lg=en,4,6,SS7
25,Ott Tänak,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3581371/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3581371&sct=&cat=&lg=en,4,5,SS8
26,Ott Tänak,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3581371/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3581371&sct=&cat=&lg=en,4,5,SS9
27,Ott Tänak,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3581371/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3581371&sct=&cat=&lg=en,5,7,SS10
28,Ott Tänak,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3581371/,2023,5,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3581371&sct=&cat=&lg=en,5,5,SS11
