,Driver,Name,URL,Year,Race_Result,DNG_Reason,Php_url,p_overall,stage,ssname
0,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,5,5,SS1
1,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,6,5,SS2
2,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,6,6,SS3
3,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,7,7,SS4
4,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,6,6,SS5
5,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,6,5,SS6
6,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,6,5,SS7
7,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,6,4,SS8
8,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,6,1,SS9
9,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,6,3,SS10
10,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,6,2,SS11
11,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,5,3,SS12
12,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,4,1,SS13
13,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,3,1,SS14
14,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,3,1,SS15
15,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,3,3,SS16
16,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,2,1,SS17
17,Thierry Neuville,Rally Sweden,/entryinfo/79247-rally-sweden-2023/3608291/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=79247&entry=3608291&sct=&cat=&lg=en,3,6,SS18
18,Thierry Neuville,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560761/,2023,3,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560761&sct=&cat=&lg=en,3,3,SS1
