,Driver,Name,URL,Year,Race_Result,DNG_Reason,Php_url,p_overall,stage,ssname
0,Sébastien Loeb,EKO Acropolis Rally Greece,/entryinfo/73366-eko-acropolis-rally-greece-2022/3424301/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Alternator belt                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73366&entry=3424301&sct=&cat=&lg=en,6,6,SS1
1,Sébastien Loeb,EKO Acropolis Rally Greece,/entryinfo/73366-eko-acropolis-rally-greece-2022/3424301/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Alternator belt                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73366&entry=3424301&sct=&cat=&lg=en,1,1,SS2
2,Sébastien Loeb,EKO Acropolis Rally Greece,/entryinfo/73366-eko-acropolis-rally-greece-2022/3424301/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Alternator belt                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73366&entry=3424301&sct=&cat=&lg=en,1,1,SS3
3,Sébastien Loeb,EKO Acropolis Rally Greece,/entryinfo/73366-eko-acropolis-rally-greece-2022/3424301/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Alternator belt                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73366&entry=3424301&sct=&cat=&lg=en,1,1,SS4
4,Sébastien Loeb,EKO Acropolis Rally Greece,/entryinfo/73366-eko-acropolis-rally-greece-2022/3424301/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Alternator belt                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73366&entry=3424301&sct=&cat=&lg=en,2,8,SS5
5,Sébastien Loeb,EKO Acropolis Rally Greece,/entryinfo/73366-eko-acropolis-rally-greece-2022/3424301/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Alternator belt                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73366&entry=3424301&sct=&cat=&lg=en,3,3,SS6
6,Sébastien Loeb,EKO Acropolis Rally Greece,/entryinfo/73366-eko-acropolis-rally-greece-2022/3424301/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Alternator belt                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73366&entry=3424301&sct=&cat=&lg=en,1,1,SS7
7,Sébastien Loeb,EKO Acropolis Rally Greece,/entryinfo/73366-eko-acropolis-rally-greece-2022/3424301/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Alternator belt                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73366&entry=3424301&sct=&cat=&lg=en,1,2,SS8
8,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,5,5,SS1
9,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,3,1,SS2
10,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,3,5,SS3
11,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,5,7,SS4
12,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,14,34,SS5
13,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,22,33,SS6
14,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,28,29,SS7
15,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,16,5,SS8
16,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,13,2,SS9
17,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,12,6,SS10
18,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,12,6,SS11
19,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,11,5,SS12
20,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,10,6,SS13
21,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,10,2,SS14
22,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,10,4,SS15
23,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,10,4,SS16
24,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,9,1,SS17
25,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,8,1,SS18
26,Sébastien Loeb,Safari Rally Kenya,/entryinfo/73362-safari-rally-kenya-2022/3373957/,2022,8,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73362&entry=3373957&sct=&cat=&lg=en,8,2,SS19
27,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344640/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73360&entry=3344640&sct=&cat=&lg=en,8,8,SS1
28,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344640/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73360&entry=3344640&sct=&cat=&lg=en,8,8,SS2
29,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344640/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73360&entry=3344640&sct=&cat=&lg=en,7,7,SS3
30,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344640/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73360&entry=3344640&sct=&cat=&lg=en,1,1,SS4
31,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344640/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73360&entry=3344640&sct=&cat=&lg=en,47,72,SS5
32,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344640/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73360&entry=3344640&sct=&cat=&lg=en,58,64,SS6
33,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344640/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73360&entry=3344640&sct=&cat=&lg=en,63,61,SS7
34,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344640/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73360&entry=3344640&sct=&cat=&lg=en,65,59,SS8
35,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344640/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73360&entry=3344640&sct=&cat=&lg=en,62,56,SS9
36,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344640/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73360&entry=3344640&sct=&cat=&lg=en,49,10,SS10
37,Sébastien Loeb,Vodafone Rally de Portugal,/entryinfo/73360-vodafone-rally-de-portugal-2022/3344640/,2022,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Mechanical                            </div>",https://www.ewrc-results.com/inc/json_driverinfo.php?event=73360&entry=3344640&sct=&cat=&lg=en,49,46,SS11
38,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,2,2,SS1
39,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,2,2,SS2
40,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,2,1,SS3
41,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,2,1,SS4
42,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,1,1,SS5
43,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,1,1,SS6
44,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,1,3,SS7
45,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,1,4,SS8
46,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,1,7,SS9
47,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,1,4,SS10
48,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,2,4,SS11
49,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,2,2,SS12
50,Sébastien Loeb,Rallye Automobile Monte-Carlo,/entryinfo/72281-rallye-automobile-monte-carlo-2022/3165130/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=72281&entry=3165130&sct=&cat=&lg=en,2,5,SS13
