,Driver,Name,URL,Year,Race_Result,DNG_Reason,Php_url,p_overall,stage,ssname
0,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,1,SS1
1,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,1,SS2
2,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,1,SS3
3,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,1,SS4
4,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,1,SS5
5,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,2,SS6
6,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,1,SS7
7,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,3,SS8
8,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,3,SS9
9,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,1,SS10
10,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,2,SS11
11,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,4,SS12
12,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,4,SS13
13,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,4,SS14
14,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,1,SS15
15,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,2,SS16
16,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,1,SS17
17,Sébastien Ogier,Rallye Automobile Monte-Carlo,/entryinfo/77787-rallye-automobile-monte-carlo-2023/3560663/,2023,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=77787&entry=3560663&sct=&cat=&lg=en,1,5,SS18
18,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,1,1,SS1
19,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,33,33,SS2
20,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,32,2,SS4
21,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,14,3,SS5
22,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,10,6,SS6
23,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,7,3,SS8
24,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,6,1,SS9
25,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,6,2,SS10
26,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,5,1,SS11
27,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,5,1,SS12
28,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,5,3,SS14
29,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,5,2,SS15
30,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,5,2,SS16
31,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,5,1,SS17
32,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,4,2,SS18
33,Sébastien Ogier,FORUM8 Rally Japan,/entryinfo/73369-forum8-rally-japan-2022/3507849/,2022,4,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73369&entry=3507849&sct=&cat=&lg=en,4,7,SS19
34,Sébastien Ogier,RallyRACC Catalunya - Costa Daurada,/entryinfo/73368-rallyracc-catalunya-costa-daurada-2022/3483884/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73368&entry=3483884&sct=&cat=&lg=en,4,4,SS1
35,Sébastien Ogier,RallyRACC Catalunya - Costa Daurada,/entryinfo/73368-rallyracc-catalunya-costa-daurada-2022/3483884/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73368&entry=3483884&sct=&cat=&lg=en,3,4,SS2
36,Sébastien Ogier,RallyRACC Catalunya - Costa Daurada,/entryinfo/73368-rallyracc-catalunya-costa-daurada-2022/3483884/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73368&entry=3483884&sct=&cat=&lg=en,1,1,SS3
37,Sébastien Ogier,RallyRACC Catalunya - Costa Daurada,/entryinfo/73368-rallyracc-catalunya-costa-daurada-2022/3483884/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73368&entry=3483884&sct=&cat=&lg=en,2,3,SS4
38,Sébastien Ogier,RallyRACC Catalunya - Costa Daurada,/entryinfo/73368-rallyracc-catalunya-costa-daurada-2022/3483884/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73368&entry=3483884&sct=&cat=&lg=en,1,1,SS5
39,Sébastien Ogier,RallyRACC Catalunya - Costa Daurada,/entryinfo/73368-rallyracc-catalunya-costa-daurada-2022/3483884/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73368&entry=3483884&sct=&cat=&lg=en,1,2,SS6
40,Sébastien Ogier,RallyRACC Catalunya - Costa Daurada,/entryinfo/73368-rallyracc-catalunya-costa-daurada-2022/3483884/,2022,1,Null,https://www.ewrc-results.com/inc/json_driverinfo.php?event=73368&entry=3483884&sct=&cat=&lg=en,1,2,SS7
