Driver,Serial,Race_Result
Carlos Sainz,1.0,2.0
Colin McRae,1.0,
Elfyn Evans,1.0,
Mikko Hirvonen,1.0,
Ott Tänak,1.0,
Sébastien Loeb,1.0,
Sébastien Ogier,1.0,
Thierry Neuville,1.0,
Tommi Mäkinen,1.0,1.0
Carlos Sainz,2.0,
Colin McRae,2.0,3.0
Elfyn Evans,2.0,
Mikko Hirvonen,2.0,
Ott Tänak,2.0,
Sébastien Loeb,2.0,
Sébastien Ogier,2.0,
Thierry Neuville,2.0,
Tommi Mäkinen,2.0,2.0
Carlos Sainz,3.0,4.0
Colin McRae,3.0,
Elfyn Evans,3.0,
Mikko Hirvonen,3.0,
Ott Tänak,3.0,
Sébastien Loeb,3.0,
Sébastien Ogier,3.0,
Thierry Neuville,3.0,
Tommi Mäkinen,3.0,
Carlos Sainz,4.0,3.0
Colin McRae,4.0,
Elfyn Evans,4.0,
Mikko Hirvonen,4.0,
Ott Tänak,4.0,
Sébastien Loeb,4.0,
Sébastien Ogier,4.0,
Thierry Neuville,4.0,
Tommi Mäkinen,4.0,
Carlos Sainz,5.0,
Colin McRae,5.0,1.0
Elfyn Evans,5.0,
Mikko Hirvonen,5.0,
Ott Tänak,5.0,
Sébastien Loeb,5.0,
Sébastien Ogier,5.0,
Thierry Neuville,5.0,
Tommi Mäkinen,5.0,4.0
Carlos Sainz,6.0,
Colin McRae,6.0,
Elfyn Evans,6.0,
Mikko Hirvonen,6.0,
Ott Tänak,6.0,
Sébastien Loeb,6.0,
Sébastien Ogier,6.0,
Thierry Neuville,6.0,
Tommi Mäkinen,6.0,3.0
Carlos Sainz,7.0,2.0
Colin McRae,7.0,1.0
Elfyn Evans,7.0,
Mikko Hirvonen,7.0,
Ott Tänak,7.0,
Sébastien Loeb,7.0,
Sébastien Ogier,7.0,
Thierry Neuville,7.0,
Tommi Mäkinen,7.0,
Carlos Sainz,8.0,3.0
Colin McRae,8.0,2.0
Elfyn Evans,8.0,
Mikko Hirvonen,8.0,
Ott Tänak,8.0,
Sébastien Loeb,8.0,
Sébastien Ogier,8.0,
Thierry Neuville,8.0,
Tommi Mäkinen,8.0,
Carlos Sainz,9.0,1.0
Colin McRae,9.0,2.0
Elfyn Evans,9.0,
Mikko Hirvonen,9.0,
Ott Tänak,9.0,
Sébastien Loeb,9.0,
Sébastien Ogier,9.0,
Thierry Neuville,9.0,
Tommi Mäkinen,9.0,4.0
Carlos Sainz,10.0,1.0
Colin McRae,10.0,2.0
Elfyn Evans,10.0,
Mikko Hirvonen,10.0,
Ott Tänak,10.0,
Sébastien Loeb,10.0,
Sébastien Ogier,10.0,
Thierry Neuville,10.0,
Tommi Mäkinen,10.0,5.0
Carlos Sainz,11.0,3.0
Colin McRae,11.0,
Elfyn Evans,11.0,
Mikko Hirvonen,11.0,
Ott Tänak,11.0,
Sébastien Loeb,11.0,
Sébastien Ogier,11.0,
Thierry Neuville,11.0,
Tommi Mäkinen,11.0,
Carlos Sainz,12.0,5.0
Colin McRae,12.0,6.0
Elfyn Evans,12.0,
Mikko Hirvonen,12.0,
Ott Tänak,12.0,
Sébastien Loeb,12.0,1.0
Sébastien Ogier,12.0,
Thierry Neuville,12.0,
Tommi Mäkinen,12.0,3.0
Carlos Sainz,14.0,4.0
Colin McRae,14.0,
Elfyn Evans,14.0,
Mikko Hirvonen,14.0,
Ott Tänak,14.0,
Sébastien Loeb,14.0,3.0
Sébastien Ogier,14.0,
Thierry Neuville,14.0,
Tommi Mäkinen,14.0,3.0
Carlos Sainz,15.0,2.0
Colin McRae,15.0,
Elfyn Evans,15.0,
Mikko Hirvonen,15.0,
Ott Tänak,15.0,
Sébastien Loeb,15.0,1.0
Sébastien Ogier,15.0,
Thierry Neuville,15.0,
Tommi Mäkinen,15.0,1.0
Carlos Sainz,16.0,3.0
Colin McRae,16.0,9.0
Elfyn Evans,16.0,
Mikko Hirvonen,16.0,
Ott Tänak,16.0,
Sébastien Loeb,16.0,
Sébastien Ogier,16.0,
Thierry Neuville,16.0,
Tommi Mäkinen,16.0,
Carlos Sainz,17.0,2.0
Colin McRae,17.0,
Elfyn Evans,17.0,
Mikko Hirvonen,17.0,
Ott Tänak,17.0,
Sébastien Loeb,17.0,
Sébastien Ogier,17.0,
Thierry Neuville,17.0,
Tommi Mäkinen,17.0,1.0
Carlos Sainz,18.0,5.0
Colin McRae,18.0,
Elfyn Evans,18.0,
Mikko Hirvonen,18.0,
Ott Tänak,18.0,
Sébastien Loeb,18.0,
Sébastien Ogier,18.0,
Thierry Neuville,18.0,
Tommi Mäkinen,18.0,3.0
Carlos Sainz,19.0,3.0
Colin McRae,19.0,1.0
Elfyn Evans,19.0,
Mikko Hirvonen,19.0,
Ott Tänak,19.0,
Sébastien Loeb,19.0,
Sébastien Ogier,19.0,
Thierry Neuville,19.0,
Tommi Mäkinen,19.0,4.0
Carlos Sainz,20.0,3.0
Colin McRae,20.0,1.0
Elfyn Evans,20.0,
Mikko Hirvonen,20.0,
Ott Tänak,20.0,
Sébastien Loeb,20.0,
Sébastien Ogier,20.0,
Thierry Neuville,20.0,
Tommi Mäkinen,20.0,
Carlos Sainz,21.0,
Colin McRae,21.0,1.0
Elfyn Evans,21.0,
Mikko Hirvonen,21.0,
Ott Tänak,21.0,
Sébastien Loeb,21.0,
Sébastien Ogier,21.0,
Thierry Neuville,21.0,
Tommi Mäkinen,21.0,4.0
Carlos Sainz,22.0,
Colin McRae,22.0,
Elfyn Evans,22.0,
Mikko Hirvonen,22.0,
Ott Tänak,22.0,
Sébastien Loeb,22.0,
Sébastien Ogier,22.0,
Thierry Neuville,22.0,
Tommi Mäkinen,22.0,1.0
Carlos Sainz,23.0,6.0
Colin McRae,23.0,3.0
Elfyn Evans,23.0,
Mikko Hirvonen,23.0,
Ott Tänak,23.0,
Sébastien Loeb,23.0,
Sébastien Ogier,23.0,
Thierry Neuville,23.0,
Tommi Mäkinen,23.0,
Carlos Sainz,24.0,4.0
Colin McRae,24.0,2.0
Elfyn Evans,24.0,
Mikko Hirvonen,24.0,
Ott Tänak,24.0,
